itjuzi_id,itjuzi_name,haituo_name,haituo_id,isrepeat
4715,元亨盈盛,元亨盈盛,28633,
4716,久盛立德,查无,,
4717,建信财富,查无,,
4719,川谷汇投资,查无,,
4720,锦华赢富,锦华赢富,28999,
4721,凯银投资,凯银投资,8235,
4722,华晨成长投资,华晨成长投资,29476,
4723,厦门庆年投资,查无,,
4724,世纪博通,查无,,
4725,鼎富基金,查无,,
4726,鼎泓乘方,鼎泓乘方,28537,
4727,建元基金,查无,,
4728,华卫投资,查无,,
4729,易圣栏投资,查无,,
4730,百丽国际,百丽国际,29375,
4731,昆仲资本,昆仲资本,28370,
4732,富丽投资,苏州富丽投资有限公司,13647,
4733,恒资时代创投,查无,,
4734,康荣投资,康荣投资,28768,
4735,大盟汇信,查无,,
4736,长城国汇,深圳市长城国汇投资管理有限公司,13756,
4737,天津长城国汇,查无,,
4738,国辰产业投资,查无,,
4739,惠理投资,查无,,
4740,费伦华茂投资,查无,,
4741,博嵩资本,查无,,
4742,大西部创投,陕西大西部创业投资有限公司,23972,
4743,金典正丰,查无,,
4744,威豪创投,查无,,
4745,陕西华通创投,查无,,
4746,领庆创投TheLinhuiFund,上海领庆创业投资管理有限公司,13818,
4747,中基武汉投资,查无,,
4748,紫杉资本,查无,,
4749,上海赏道,查无,,
4750,协丰科投,查无,,
4751,时代创投,时代创新投资管理有限公司,24160,
4752,金韩投资,上海金韩投资管理有限公司,24535,
4753,建国创投,上海建国创业投资有限公司,24056,
4754,丝路机遇投资,查无,,
4755,貔亿投资,查无,,
4756,华慧投资,华慧投资,28522,
4757,君联盛投资,查无,,
4758,东方国润,查无,,
4759,大鹏财富,查无,,
4760,华云天美,查无,,
4761,百金创投,查无,,
4762,广宇创投,查无,,
4763,扬州高投创投,查无,,
4764,和利创投,和利创投,28382,
4765,和灵资本,和灵投资管理（北京）有限公司,7714,
4766,瀚曦投资,查无,,
4767,中新技术创投,查无,,
4768,富欣投资,查无,,
4769,浙电创投,查无,,
4770,瑞银环球资产管理,查无,,
4771,天鑫投资,查无,,
4772,重庆新希望,重庆新希望,29265,
4773,中顶伟业,查无,,
4774,滨江创投,滨江创投,7539,
4775,华霖合创,北京华霖合创投资管理有限公司,23874,
4776,浙商银行,浙商银行股份有限公司,11465,
4777,皆凯创投,查无,,
4778,百城基金,查无,,
4779,中澳财富,查无,,
4780,中农高科投,中农高科（北京）科技产业投资管理有限公司,23707,
4781,鸿元投资,鸿元投资集团,13802,
4782,蓝桂资产,浙江蓝桂资产管理有限公司,24437,
4783,瑞安投资,查无,,
4784,华夏信诺,华夏信诺创业投资管理（北京）有限公司,23850,
4785,安徽信投,查无,,
4786,国舟云和资本,查无,,
4787,嘉和融通,嘉和融通创业投资,4802,
4788,金鹰创投,查无,,
4789,电联创投,查无,,
4790,杭康创投,查无,,
4791,凯弗雷投资,查无,,
4792,上海中悉投资,查无,,
4793,加里红杉,查无,,
4794,枫惠投资,查无,,
4795,锦联金融服务集团,查无,,
4796,润邦投资,查无,,
4797,福睿德投资,宁波福睿德投资管理有限公司,24362,
4798,创徒丛林-创徒投资,创徒丛林-创徒投资,3818,
4799,蓝拓资本,蓝拓资本,3813,
4800,建投创投,查无,,
4801,盈锐麒创投,查无,,
4802,海琴瀚元,查无,,
4803,凯容胜达,查无,,
4804,财智创投,查无,,
4805,舟山欧源,查无,,
4806,中博投资,查无,,
4807,北京君正,北京君正集成电路股份有限公司,2226,
4808,博信高投,查无,,
4809,船舶产业创投,查无,,
4810,新能源基金,查无,,
4811,大中华人才发展基金,查无,,
4812,北京明日佳,查无,,
4813,国都创投(国都证券),国都创投,8227,
4814,冠亚投资,冠亚投资,29441,
4815,玄元投资,查无,,
4816,麒麟阳光,麒麟阳光,29279,
4817,罗斯洛克,查无,,
4818,世茂汇天,查无,,
4819,松雷集团,查无,,
4820,天铜创投,查无,,
4821,瑞和创投,查无,,
4822,银乾创投,查无,,
4823,招银国际,招银国际,4590,
4824,TF Capital泰福资本,查无,,
4825,龙树投资,龙树资本,2591,
4826,泰同创投,查无,,
4827,平能创投,查无,,
4828,泰河创投,查无,,
4829,广润创投,深圳市睿合广润创业投资管理合伙企业（有限合伙）,24355,
4830,文投创投,查无,,
4831,泰恒投资,杭州泰恒股权投资管理有限公司,24259,
4832,睦和投资,查无,,
4833,云南产业投资,查无,,
4834,昆仑资本,查无,,
4835,金运电气,查无,,
4836,兰德润广,查无,,
4837,泛亚创投投资,深圳市泛亚创投投资有限公司,24254,
4838,弘凯创投,查无,,
4839,天路创投,查无,,
4840,中投隆创,查无,,
4841,恒健创投,广东恒健创业投资有限公司,24091,
4842,Jeneration Capital时代资本,时代资本,7500,
4843,贵阳创投,贵阳创投,3949,
4844,天际创业,浙江天际创业投资有限公司,23991,
4845,闵行科风投,查无,,
4846,信息技术创投,信息技术创投,7502,
4847,领势投资,领势投资,7681,
4848,景达创投,查无,,
4849,廊坊创投,查无,,
4850,科源基金,查无,,
4851,鹭远投资,查无,,
4852,蓝点投资,上海蓝点投资有限公司,24441,
4853,赣州高能创投,查无,,
4854,信锐投资,查无,,
4855,九州投资,九州投资,28936,
4856,世纪方舟资本管理,北京世纪方舟资本管理中心（有限合伙）,23679,
4857,显德创投,显德创投,3679,
4858,德汇创投,德汇创投,28454,
4859,田保投资,查无,,
4860,大农业发展,查无,,
4861,百金投资,查无,,
4862,亚洲搭档,亚洲搭档种子基金,587,
4863,苏州高新创投,苏州高新创投,3044,
4864,东源投资,东源投资,28757,
4865,凯容投资,广东凯容投资管理有限公司,23809,
4866,栋盛国际,查无,,
4867,英大资本,英大资本,7854,
4868,银联融资,查无,,
4869,银华瑞信,查无,,
4870,中大凯思,查无,,
4871,津蒲投资,查无,,
4872,听潮投资,查无,,
4873,碧城创投,查无,,
4874,上创新微,上海上创新微投资管理有限公司,23660,
4875,山西国电投资,查无,,
4876,邦明资本,上海邦明投资管理有限公司,,
4877,原链资本,原链资本,7799,
4878,博智投资,博智投资,28752,
4879,携富投资集团,携富投资,540,
4880,三峡新能源,查无,,
4881,金典银桥,查无,,
4882,君士投资,查无,,
4883,联办投资,查无,,
4884,凯晟投资,凯晟投资,7994,
4885,中沪深投资,查无,,
4886,强生控股,上海强生控股股份有限公司,9172,
4887,中科创集团,查无,,
4888,源星图创投,查无,,
4889,博鸿投资,查无,,
4890,远策投资,天津远策投资管理有限公司,24491,
4891,北京银信,查无,,
4892,国富投资,上海国富投资管理有限公司,23945,
4893,毓承资本,毓承资本,3975,
4894,摩根艾文红岩,查无,,
4895,南大科投,查无,,
4896,牛仔投资,查无,,
4897,青岛中合信,查无,,
4898,科鑫投资,查无,,
4899,蜀祥投资,四川蜀祥创业投资有限公司,13721,
4900,华岳投资,查无,,
4901,中部创投,中部创投,28703,
4902,深圳摩通资本,查无,,
4903,香港摩通资本,查无,,
4904,江苏现代,查无,,
4905,摩通资本,查无,,
4906,武汉中富,查无,,
4907,江苏中富,江苏中富,29336,
4908,融达小额贷款,融达小额贷款,29179,
4909,汇富银创投,汇富银创投,29306,
4910,水星创投,水星创投,29324,
4911,兴信投资,查无,,
4912,兴信鼎翰,查无,,
4913,图原资产管理,查无,,
4914,重庆正银广惠,查无,,
4915,鸿商集团,鸿商产业控股集团,24586,
4916,宏鹏投资,宏鹏投资,29146,
4917,凯德咨询,查无,,
4918,前海长城基金,查无,,
4919,瑞富时代,查无,,
4920,越秀产投,广州越秀产业投资基金管理有限公司,24480,重复
4921,唐融投资,唐融投资,28436,
4922,北京信托,查无,,
4923,富智阳光,北京富智阳光投资管理有限公司,24025,
4924,上海近业投资,近业投资,13542,
4925,复旦医疗,查无,,
4926,天沐君合投资,天沐君合投资,28853,
4927,元通创投,查无,,
4928,金昊创投,查无,,
4929,云禾资本,云禾资本,7790,
4930,迈迪基金,查无,,
4931,公牛资产,查无,,
4932,长荣投资,长荣投资,29500,
4933,融晟投资,查无,,
4934,融科投资,查无,,
4935,高弘创投,江苏高弘创业投资管理有限公司,24572,
4936,真银创投,查无,,
4937,烟台创投,查无,,
4938,景隆资产北京,查无,,
4939,博辰创投,博辰创投,28451,
4940,进艺国际投资,查无,,
4941,德州创投,查无,,
4942,滨州高新投,查无,,
4943,宝升科投,宝升科投,29052,
4944,贵阳高新投,查无,,
4945,原木联合资本,查无,,
4946,清朗资本,查无,,
4947,中城赋比兴,中城赋比兴（天津）股权投资基金管理合伙企业,23715,
4948,东原创投,查无,,
4949,阳光保险,阳光保险,3470,
4950,厦门高新,查无,,
