itjuzi_id,itjuzi_name,haituo_name,haituo_id,isrepeat
835,厚朴基金,厚朴投资管理公司,5015,
836,Susquehanna Growth Equity（SIG）,查无,,
837,Hellman &Friedman;,查无,,
838,Accion’s Frontier Investments Group,查无,,
839,TA Ventures,查无,,
840,RI Digital Ventures,查无,,
841,KRW Schindler Investments,查无,,
842,网龙网络(M Fund),网龙网络控股有限公司,12242,
843,华盖资本,华盖资本,5021,
844,国科嘉和,国科嘉和(北京)投资管理有限公司,77,
845,力合科创（力合创投）,深圳力合创业投资有限公司,23827,
846,梅花天使创投,梅花天使创投,788,
847,东方元鼎资本,东方元鼎（北京）投资咨询有限公司,23683,
848,普华资本,浙江普华天勤股权投资管理有限公司,1234,
849,B Dash Ventures,查无,,
850,Pinehurst Advisors,Pinehurst Advisors,23621,
851,富达投资Fidelity Investments,富达亚洲,6800,
852,Summit Partners,查无,,
853,Blumberg Capital,查无,,
854,Anthem Capital Management,查无,,
855,Delphi Ventures,查无,,
856,Greenspring Associates,查无,,
857,HealthCare Ventures,查无,,
859,MentorTech Ventures,查无,,
860,360 Capital Partners,查无,,
861,Active Venture Partners,查无,,
862,Nokia growth partners(海外投资),诺基亚成长基金,24466,有重复
863,Kinnevik,查无,,
865,Extend Capital,查无,,
866,Sigma Gestion,查无,,
867,A Plus Finance,查无,,
868,BDC Venture Capital,查无,,
869,Tenfore Holdings,查无,,
870,北纬通信,北京北纬通信科技股份有限公司,8667,
871,Digicel,查无,,
872,Victory Park Capital,查无,,
873,North Hill Ventures,查无,,
874,智联招聘,查无,,
875,Carmel Ventures,Carmel Ventures,23563,
876,Nyca Partners,查无,,
877,Kima Ventures,查无,,
878,复思资本,复思资本,5303,
879,国润祁连,查无,,
880,CarSales,查无,,
881,Palo Alto Networks,查无,,
882,Spotify,查无,,
883,蜗牛移动,查无,,
884,太证资本,太证资本管理有限责任公司,3834,
885,Revolution Ventures,Revolution Ventures,29219,
886,Highland Capital Partners,查无,,
887,Slow Ventures,查无,,
888,Chicago Ventures,Chicago Ventures,29420,
889,OCA Ventures,查无,,
890,Pritzker Group Venture Capital,查无,,
891,触控科技,查无,,
892,Delta Partners,查无,,
893,Industry Ventures,查无,,
894,Warner Bros.华纳兄弟,查无,,
895,MK Capital,查无,,
896,Verizon Ventures,查无,,
897,Blue Cloud Ventures,查无,,
898,天润控股,湖南天润实业控股股份有限公司,6047,
899,道博股份,武汉道博股份有限公司,1319,
900,Priceline,查无,,
901,Synaptics,查无,,
902,Millhouse,查无,,
904,Opus Capital,查无,,
905,UMC Capital联电资本,UMC Capital,23645,
906,5AM Ventures,查无,,
907,Beckman Group,查无,,
908,星美国际,星美控股集团有限公司,11562,
909,广东弘图广电,广东弘图广电,7612,
910,北京马力天使投资中心,查无,,
911,商业价值,查无,,
912,上海塔人网络,查无,,
913,上海跨国采购发展(集团)有限公司,查无,,
914,江畔投资(阿里巴巴),查无,,
915,人民网,人民网股份有限公司,10344,
916,成都高新区创业天使投资基金,查无,,
917,Forgame云游控股,云游控股有限公司,12212,
918,大唐电信,大唐电信科技股份有限公司,2342,
919,欧比特,珠海欧比特控制工程股份有限公司,2146,
920,北京旋极信息,北京旋极信息技术股份有限公司,10174,
921,天舟文化,天舟文化股份有限公司,2187,
922,博雅互动,博雅互动,14,
923,三七互娱,芜湖顺荣三七互娱网络科技股份有限公司,10077,
924,梅花伞,梅花伞业股份有限公司,6075,
925,瑞领资本,瑞领资本,7986,
926,农银无锡股权投资基金,查无,,
927,承珞资本,查无,,
928,嘉麟杰,上海嘉麟杰纺织品股份有限公司,9528,
929,成都掌娱天下,查无,,
930,齐星铁塔,齐星铁塔,1802,
931,北京泰腾博越资本,北京泰腾博越资本管理中心（有限合伙）,24260,
932,北京中民银发投资,北京中民银发投资,4086,
933,北京正阳富时投资,正阳富时,29299,
934,富海银涛,深圳市富海银涛资产管理有限公司,13646,
935,骅威科技,骅威科技股份有限公司,6224,
936,观唐投资,观唐投资,29373,
937,瑞盈卓越,深圳市瑞盈卓越创业投资管理合伙企业（有限合伙）,24329,
938,UMeWorld,查无,,
939,天神娱乐,天神娱乐,4721,
940,文化长城,广东文化长城集团股份有限公司,9589,
941,世纪华通,浙江世纪华通集团股份有限公司,9541,
942,亚杰天使投资,亚杰天使投资/亚杰商会,3688,
943,北京明致无限科技,查无,,
944,新国都,深圳市新国都技术股份有限公司,10134,
945,浙江九仁资本,浙江九仁资本管理有限公司,24267,
946,宝利来,广东宝利来投资股份有限公司,1866,
947,DeNA,查无,,
948,Venture United,查无,,
950,Novus Ventures,查无,,
951,Frontline Ventures,查无,,
952,Nike,查无,,
953,Northwater Capital,查无,,
954,Comcast Ventures,Comcast Ventures,29438,
955,TOM集团,TOM集团有限公司,11885,
956,Radar Partners,查无,,
957,Bridgescale Partners,查无,,
958,SanDisk,查无,,
959,Box,查无,,
960,Kibo Venture,查无,,
961,HomeAway,查无,,
962,QuestMark Partners,查无,,
963,Scentan Ventures,查无,,
964,CapitalG(Google Capital),查无,,
965,Alsop Louie Partners,查无,,
966,Boston Seed Capital,查无,,
967,CNF Investments,查无,,
968,Middleland Capital,查无,,
969,Passion Capital,查无,,
970,启明星辰,启明星辰信息技术集团股份有限公司,10070,
971,亿纬锂能,惠州亿纬锂能股份有限公司,6282,
972,澳洲电讯Telstra,澳洲电讯,3602,
973,Golden Oriole Investments,查无,,
974,Jungle Ventures,查无,,
975,263网络通信(二六三),二六三网络通信股份有限公司,8668,
976,Altos Ventures,查无,,
977,IMM Investment,查无,,
978,Stonebridge Capital,查无,,
979,Cyberagent Ventures（国外投资）,Cyberagent Ventures（国外投资）,3587,
980,秀强股份,秀强股份,7616,
981,Lazerow Ventures,查无,,
982,Karlin Ventures,查无,,
983,Amplify Partners,查无,,
984,Fortisure Ventures,查无,,
985,Shah Capital Partners,Shah Capital,28720,
986,Diaz Nesamoney Opus Capital,查无,,
987,Square,查无,,
988,Wal-Mart,沃尔玛,7698,
989,A8音乐,A8音乐集团投资部,3672,
990,基本粒子,杭州基本粒子投资管理合伙企业（有限合伙）,23958,
991,新途基金,查无,,
992,暾澜投资,杭州暾澜投资管理有限公司,4739,
993,页游科技,查无,,
994,汉鼎股份,汉鼎宇佑互联网股份有限公司,10165,
995,Vaizra Capital Russia,查无,,
996,Blackbaud,查无,,
997,GSN,查无,,
998,World Innovation Lab,查无,,
999,PLUS Ventures,查无,,
1000,Mixin Capital,查无,,
1001,Crosscut Ventures,查无,,
1002,William Morris Endeavor,查无,,
1003,凯撒股份,查无,,
1004,Asia Pacific Capital,查无,,
1005,Ardent Capital,查无,,
1006,Union Grove Venture Partners,查无,,
1007,Path,查无,,
1008,Laconia Ventures,查无,,
1009,645 Ventures,查无,,
1010,Magna Capital Partners,查无,,
1011,Monsanto Company,查无,,
1012,AOL Ventures,查无,,
1013,索芙特,索芙特股份有限公司,1972,
1014,Secret Escapes,查无,,
1015,日本乐天Rakuten,查无,,
1016,Flipboard,查无,,
1017,Monster,查无,,
1018,IBM,IBM雷曼中国投资基金管理公司,23593,
1019,赛为智能,深圳市赛为智能股份有限公司,2141,
1020,甲骨文Oracle,查无,,
1021,Banco Bilbao Vizcaya Argentaria,查无,,
1022,复星集团,复星集团,1158,
1023,Capstone Partners,查无,,
1024,SmileGate,查无,,
1025,AOL美国在线,查无,,
1026,联想集团,联想集团有限公司,12260,
1027,Smile Group,查无,,
1028,AngelPrime,查无,,
1029,Draper Associates,查无,,
1030,RTA Capital,查无,,
1031,DCM海外,DCM,489,有重复
1032,Blume Ventures,查无,,
1033,Episode 1 Ventures,查无,,
1034,Samos Investments,查无,,
1035,Groupon,查无,,
1036,盛景网联(盛景嘉成),盛景网联科技股份有限公司,4648,
1037,Sherpalo Ventures,查无,,
1038,TEEC Angel Fund,TEEC天使基金,640,
1039,创源InnoSpring,创源,28347,
1040,Shea Ventures,查无,,
1041,Alloy Ventures,查无,,
1042,Catalyst Investors,查无,,
1043,W Capital Partners,查无,,
1044,Montreux Equity Partners,查无,,
1045,江苏高科技投资,江苏高科技投资集团有限公司,24242,
1046,Avalon Ventures,查无,,
1047,Skyscanner,查无,,
1048,Oculus VR,查无,,
1049,Storm Ventures,Storm Ventures,29174,
1050,Meakem Becker Venture Capital,查无,,
1051,Walden International,华登国际,126,
1052,UOB Venture,大华创业投资管理有限公司,3580,有重复
1053,Plaza Ventures,查无,,
1054,Real Ventures,查无,,
1055,Structure Capital,查无,,
1056,The Westly Group,查无,,
1057,Arsenal Venture Partners,查无,,
1058,North Coast Technology Investors,查无,,
1059,RSL Venture Partners,查无,,
1060,Luminary Labs Ventures,查无,,
1061,Oregon Angel Fund,查无,,
1062,万达信息,万达信息,2197,
1063,华谊嘉信,华谊嘉信,1246,
1064,若水合投,查无,,
1065,CME Group,查无,,
1066,Knight Foundation,Knight Foundation,29042,
1067,AngelList,查无,,
1068,Launch Fund,Launch Capital,6807,
1070,Ascent Capital Group,查无,,
1071,邦讯技术,邦讯技术,1761,
1072,安大略省教师退休基金Ontario Teachers,安大略教师养老金,24003,
1073,互爱科技,互爱（北京）科技有限公司,7438,
1074,Jumpspeed Ventures,查无,,
1075,Sinar Mas Group/金光集团,金光集团,3164,
1076,Corus Entertainment,查无,,
1077,DreamWorks Animation,查无,,
1078,Winklevoss Capital,查无,,
1079,Expedia,查无,,
1080,Arrowgrass Capital Partners,查无,,
1081,Acacia Capital,查无,,
1082,Condé Nast,查无,,
1083,R&R; Ventures,查无,,
1084,Time Warner时代华纳,时代华纳,7306,有重复
1085,Rogers Venture Partners,查无,,
1086,AlphaPrime  Ventures,查无,,
1087,The Social Internet Fund,查无,,
1088,Harmony Partners,查无,,
1089,Iris Capital,Iris资本,609,
1090,U.S. Venture Partners,USVP,28655,
1091,海通开元,海通开元投资有限公司,7703,
1092,广发信德-广发证券,广发证券股份有限公司,9405,
1093,天地华宇集团,查无,,
1094,美丽说,美丽说,3892,
1095,Liberty Media,查无,,
1096,Scripps Networks Interactive,查无,,
1097,日本KDDI电信,KDDI,23603,
1098,珠海长实资本,珠海横琴新区长实资本管理有限公司,24550,
1099,微软Microsoft,微软（中国）有限公司,24073,
1100,商圈网,查无,,
1101,LinkedIn,查无,,
1102,Zynga,查无,,
1103,Red Hills Ventures,查无,,
1104,Baseline Ventures,查无,,
1105,Recruit Strategic Partners,查无,,
1106,Transslink Capital,查无,,
1107,华人文化产业基金,华人文化产业基金,5029,
1108,XG Ventures,XG Ventures,28301,
1109,Butterfly Ventures,查无,,
1110,Alcatel-Lucent,查无,,
1111,Lead Edge Capital,查无,,
1112,Travefy,查无,,
1113,联发科MTK,联发科,761,
1114,BWVC泽厚资本,泽厚资本,4573,
1115,键桥通讯,深圳键桥通讯技术股份有限公司,6143,
1116,Pelion Venture Partners,查无,,
1117,Cloud Power Capital,查无,,
1118,慧聪网,慧聪网有限公司,12323,
1119,H Capital,HCapital,605,
1120,VY Capital,Vy Capital,28364,
1121,Coppel Capital,查无,,
1122,Mousse Partners,Mousse Partners Ltd.,23614,
1123,South Ventures,查无,,
1124,Commercialisation Australia,查无,,
1125,Alta Ventures Mexico,查无,,
1126,Angel Ventures Mexico,查无,,
1127,Naranya Labs,查无,,
1128,天云睿海创投,查无,,
1129,Singapore Press Holdings,查无,,
1130,Incubate Fund,Incubate,28418,
1131,East Ventures,查无,,
1132,Chernin Group,查无,,
1133,利华投资,查无,,
1134,友合天昱投资,查无,,
1135,Elevation Partners,查无,,
1136,民生银行(民银国际),民银国际投资,5275,
1137,联通,查无,,
1138,Silver Creek ventures,查无,,
1139,Jump Capital,查无,,
1140,Allen & Company,查无,,
1141,Grishin Robotics,查无,,
1142,Hyde Park Venture Partners,查无,,
1143,Origin Ventures,查无,,
1145,North Coast Angel Fund,查无,,
1146,Touzimsky Airlines,查无,,
1147,Northcap,查无,,
1148,金刚玻璃,查无,,
1149,Lux Capital,查无,,
1150,AMD Ventures,查无,,
